word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS
*)=w,ὦ,interjection,lampro\n,λαμπρός,adjective,o)/mma,ὄμμα,noun,tou=,ὁ,article,troxhla/tou,τροχήλατος,adjective,lu/xnou,λύχνον,noun,ka/llist',κάλλιστα,adverb,e)n,ἐν,preposition,eu)sto/xoisin,εὔστοχος,adjective,e)zhthme/non,ζητέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gona/s,γονή,noun,te,τε,particle,ga\r,γάρ,particle,sa\s,σός,adjective,kai\,καί,conjunction,tu/xas,τύχη,noun,dhlw/somen,δηλόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
troxw=|,τροχός,noun,ga\r,γάρ,particle,e)laqei\s,ἐλαύνω,verb,keramikh=s,κεραμικός,adjective,r(u/mhs,ῥύμη,adjective,u(/po,ὑπό,preposition,mukth=rsi,μυκτήρ,noun,lampra\s,λαμπρός,adjective,h(li/ou,ἥλιος,noun,tima\s,τιμή,noun,e)/xeis,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/rma,ὁρμάω,verb,flogo\s,φλόξ,noun,shmei=a,σημεῖον,noun,ta\,ὁ,article,cugkei/mena,σύγκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soi\,σύ,pronoun,ga\r,γάρ,particle,mo/nw|,μόνος,adjective,dhlou=men,δηλόω,verb,ei)ko/tws,ἐοικότως,adverb,e)pei\,ἐπεί,conjunction,ka)n,ἐν,preposition,toi=si,ὁ,article,dwmati/oisin,δωμάτιον,adjective,*)afrodi/ths,Ἀφροδίτη,proper,tro/pwn,τρόπος,noun,peirwme/naisi,πειράω,verb,plhsi/on,πλησίος,adjective,parastatei=s,παραστατέω,verb,lordoume/nwn,λορδόω,verb,te,τε,particle,swma/twn,σῶμα,adjective,e)pista/thn,ἐφίστημι,verb,o)fqalmo\n,ὀφθαλμός,noun,ou)dei\s,οὐδείς,pronoun,to\n,ὁ,article,so\n,σός,adjective,e)cei/rgei,ἐξέργω,verb,do/mwn,δόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mo/nos,μόνος,adjective,de\,δέ,particle,mhrw=n,μηρός,noun,ei)s,εἰς,preposition,a)porrh/tous,ἀπόρρητος,adjective,muxou\s,μυχός,noun,la/mpeis,λάμπω,verb,a)feu/wn,ἀφεύω,verb,th\n,ὁ,article,e)panqou=san,ἐπανθέω,verb,tri/xa,θρίξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoa/s,στοά,noun,te,τε,particle,karpou=,καρπός,noun,*bakxi/ou,Βακχιόω,verb,te,τε,particle,na/matos,νᾶμα,noun,plh/reis,πλήρης,adverb,u(poignu/saisi,ὑποίγω,verb,sumparastatei=s,συμπαραστατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=ta,οὗτος,pronoun,sundrw=n,συνδράω,verb,ou),οὐ,adverb,lalei=s,λαλέω,verb,toi=s,ὁ,article,plhsi/on,πλησίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nq',ἀντί,preposition,w(=n,ὅς,pronoun,sunei/sei,σύνειμι,verb,kai\,καί,conjunction,ta\,ὁ,article,nu=n,νῦν,adverb,bouleu/mata,βούλευμα,noun,o(/sa,ὅσος,adjective,*ski/rois,Σκίρα,proper,e)/doce,δοκέω,verb,tai=s,ὁ,article,e)mai=s,ἐμός,adjective,fi/lais,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)demi/a,οὐδείς,pronoun,pa/restin,πάρειμι,verb,a(\s,ὅς,pronoun,h(/kein,ἥκω,verb,e)xrh=n,χρή,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,pro\s,πρός,preposition,o)/rqron,ὄρθρος,noun,g',γε,particle,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,e)kklhsi/a,ἐκκλησία,noun,au)ti/ka,αὐτίκα,adverb,ma/l',μάλα,adverb,e)/stai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katalabei=n,καταλαμβάνω,verb,d',δέ,particle,h(ma=s,ἐγώ,pronoun,e(/dras,ἕδρα,noun,a(\s,ὅς,pronoun,*furo/maxo/s,Φυρόμαχος,proper,pot',ποτέ,particle,ei)=pen,εἶπον,verb,ei),εἰ,conjunction,me/mnhsq',μιμνήσκω,verb,e)/ti,ἔτι,adverb,dei=,δέομαι,verb,ta\s,ὁ,article,e(te/ras,ἕτερος,adjective,pws,πως,particle,ka)gkaqezome/nas,,,laqei=n,λανθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,dh=t',δῆτα,adverb,a)\n,ἄν,particle,ei)/h,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teron,πότερος,adjective,ou)k,οὐ,adverb,e)rramme/nous,ῥάπτω,verb,e)/xousi,ἔχω,verb,tou\s,ὁ,article,pw/gwnas,πώγων,noun,ou(\s,ὅς,pronoun,ei)/rht',ἔρομαι,verb,e)/xein,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,qai)ma/tia,ἱμάτιον,adjective,ta)ndrei=a,ἀνδρεῖα,noun,kleya/sais,κλέπτω,verb,laqei=n,λανθάνω,verb,h)=n,εἰμί,verb,xalepo\n,χαλεπός,adjective,au)tai=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,o(rw=,ὁράω,verb,tondi\,ὅδε,pronoun,lu/xnon,λύχνον,noun,prosio/nta,πρόσειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe/re,φέρω,verb,nun,νῦν,adverb,e)panaxwrh/sw,ἐπαναχωρέω,verb,pa/lin,πάλιν,adverb,mh\,μή,conjunction,kai/,καί,conjunction,tis,τις,pronoun,w)\n,εἰμί,verb,a)nh\r,ἀνήρ,noun,o(,ὁ,article,prosiw\n,πρόσειμι,verb,tugxa/nh|,τυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ra,ὥρα,adjective,badi/zein,βαδίζω,verb,w(s,ὡς,conjunction,o(,ὁ,article,kh=ruc,κῆρυξ,noun,a)rti/ws,ἄρτιος,adjective,h(mw=n,ἐγώ,pronoun,prosiousw=n,πρόσειμι,verb,deu/teron,δεύτερος,adjective,keko/kkuken,κοκκύζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de/,δέ,particle,g',γε,particle,u(ma=s,σύ,pronoun,prosdokw=s',προσδοκάω,verb,h)grhgo/rh,,,th\n,ὁ,article,nu/kta,νύξ,adjective,pa=san,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,fe/re,φέρω,verb,th\n,ὁ,article,gei/tona,γείτων,noun,th/nd',ὅδε,pronoun,e)kkale/swmai,ἐκκαλέω,verb,qrugonw=sa,θρυγονάω,verb,th\n,ὁ,article,qu/ran,θύρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,ga\r,γάρ,particle,to\n,ὁ,article,a)/ndr',ἀνήρ,noun,au)th=s,αὐτός,pronoun,laqei=n,λανθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/kousa/,ἀκούω,verb,toi,τοι,particle,u(podoume/nh,ὑποδέω,verb,to\,ὁ,article,knu=ma/,κνῦμα,noun,sou,σύ,pronoun,tw=n,ὁ,article,daktu/lwn,δάκτυλος,noun,a(/t',ἅτε,adverb,ou),οὐ,adverb,katadarqou=s',καταδαρθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,a)nh\r,ἀνήρ,noun,w)=,ὦ,interjection,filta/th,φίλτατος,adjective,*salami/nios,Σαλαμίνιος,proper,ga/r,γάρ,particle,e)stin,εἰμί,verb,w(=|,ὅς,pronoun,cu/neim',σύνειμι,verb,e)gw/,ἐγώ,pronoun,th\n,ὁ,article,nu/xq',νύξ,adjective,o(/lhn,ὅλος,adjective,h)/laune/,ἐλαύνω,verb,m',ἐγώ,pronoun,e)n,ἐν,preposition,toi=s,ὁ,article,strw/masin,στρῶμα,noun,w(/st',ὥστε,conjunction,a)/rti,ἄρτι,adverb,touti\,οὗτος,pronoun,qoi)ma/tion,ἱμάτιον,adjective,au)tou=,αὐτός,pronoun,'labon,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,o(rw=,ὁράω,verb,kai\,καί,conjunction,*kleinare/thn,Κλειναρέτη,proper,kai\,καί,conjunction,*swstra/thn,Σωστράτη,proper,prosiou=san,πρόσειμι,verb,h)/dh,ἤδη,adverb,th/nde,ὅδε,pronoun,kai\,καί,conjunction,*filaine/thn,Φιλαινέτη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
