word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/61/lemma/@_entry,word/61/lemma/@_POS
*)astu/filos,Ἀστύφιλος,proper,kai\,καί,conjunction,o(,ὁ,article,le/gwn,λέγω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,a)delfoi\,ἀδελφός,adjective,o(momh/trioi,ὁμομήτριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teleuth/santos,τελευτάω,verb,de\,δέ,particle,tou=,ὁ,article,*)astufi/lou,Ἀστύφιλος,proper,diaqh/kas,διαθήκη,noun,proh/negke,προφέρω,verb,*kle/wn,Κλέων,proper,tis,τις,pronoun,a)neyio\s,ἀνεψιός,noun,w)\n,εἰμί,verb,au)tou=,αὐτός,pronoun,fa/skwn,φάσκω,verb,au)ta\s,αὐτός,pronoun,gene/sqai,γίγνομαι,verb,ei)s,εἰς,preposition,to\n,ὁ,article,ui(o\n,υἱός,noun,e(autou=,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,a)delfo\s,ἀδελφός,adjective,tou=,ὁ,article,*)astufi/lou,Ἀστύφιλος,proper,kathgorei=,κατηγορέω,verb,tw=n,ὁ,article,diaqhkw=n,διαθήκη,noun,w(s,ὡς,conjunction,plastw=n,πλάστης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,sta/sis,στάσις,adjective,stoxasmo/s,στοχασμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)delfo/s,ἀδελφός,adjective,moi,ἐγώ,pronoun,h)=n,εἰμί,verb,o(momh/trios,ὁμομήτριος,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)astu/filos,Ἀστύφιλος,proper,ou(=,ἕ,pronoun,e)stin,εἰμί,verb,o(,ὁ,article,klh=ros,κλῆρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)podhmh/sas,ἀποδημέω,verb,ou)=n,οὖν,particle,meta\,μετά,preposition,tw=n,ὁ,article,ei)s,εἰς,preposition,*mutilh/nhn,Μυτιλήνη,proper,stratiwtw=n,στρατιώτης,adjective,e)teleu/thse,τελευτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peira/somai,πειράω,verb,d',δέ,particle,u(mi=n,σύ,pronoun,e)pidei=cai,ἐπιδείκνυμι,verb,o(/per,ὅσπερ,adjective,a)ntw/mosa,ἀντόμνυμι,verb,w(s,ὡς,conjunction,ou)/te,οὔτε,adverb,e)poih/sato,ποιέω,verb,e)kei=nos,ἐκεῖνος,pronoun,u(o\n,υἱός,noun,e(autw=|,ἑαυτοῦ,pronoun,ou)/t',οὔτε,adverb,e)/dwke,δίδωμι,verb,ta\,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,ou)/te,οὔτε,adverb,diaqh/kas,διαθήκη,noun,kate/lipen,καταλιμπάνω,verb,ou)/te,οὔτε,adverb,prosh/kei,προσήκω,verb,e)/xein,ἔχω,verb,ta\,ὁ,article,*)astufi/lou,Ἀστύφιλος,proper,ou)deni\,οὐδείς,pronoun,a)/llw|,ἄλλος,adjective,h)\,ἠέ,conjunction,e)moi/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,ga\r,γάρ,particle,o(,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kle/wn,Κλέων,proper,ou(tosi\,οὗτος,pronoun,a)neyio\s,ἀνεψιός,noun,*)astufi/lw|,Ἀστύφιλος,proper,pro\s,πρός,preposition,patro/s,πατήρ,noun,o(,ὁ,article,de\,δέ,particle,u(o\s,ὗς,noun,o(,ὁ,article,tou/tou,οὗτος,pronoun,o(\n,ὅς,pronoun,ei)spoiei=,εἰσποιέω,verb,e)kei/nw|,ἐκεῖνος,pronoun,a)neyiadou=s,ἀνεψιαδοῦς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)spoi/htos,εἰσποίητος,adjective,d',δέ,particle,h)=n,εἰμί,verb,o(,ὁ,article,path\r,πατήρ,noun,o(,ὁ,article,*kle/wnos,Κλέων,proper,ei)s,εἰς,preposition,a)/llon,ἄλλος,adjective,oi)=kon,οἶκος,noun,kai\,καί,conjunction,ou(=toi,οὗτος,pronoun,e)/ti,ἔτι,adverb,ei)si\n,εἰμί,verb,e)n,ἐν,preposition,e)kei/nw|,ἐκεῖνος,pronoun,tw=|,ὁ,article,oi)/kw|,οἶκος,noun,w(/ste,ὥστε,conjunction,ge/nei,γένος,noun,me\n,μέν,particle,dia\,διά,preposition,to\n,ὁ,article,no/mon,νόμος,noun,ou)de\n,οὐδείς,pronoun,prosh/kousin,προσήκω,verb,*)astufi/lw|,Ἀστύφιλος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
