word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS
eu)kth/monos,ἐυκτήμων,adjective,ui(o\s,υἱός,noun,*filokth/mwn,Φιλοκτήμων,proper,to\n,ὁ,article,th=s,ὁ,article,e(te/ras,ἕτερος,adjective,tw=n,ὁ,article,a)delfw=n,ἀδελφή,noun,kai\,καί,conjunction,*fanostra/tou,Φανόστρατος,proper,ui(o\n,υἱός,noun,*xaire/straton,poihsa/menos,ποιέω,verb,kata\,κατά,preposition,diaqh/kas,διαθήκη,noun,teqei/sas,τίθημι,verb,para\,παρά,preposition,*xaire/a|,Χαιρέης,proper,tw=|,ὁ,article,th=s,ὁ,article,e(te/ras,ἕτερος,adjective,a)delfh=s,ἀδελφή,noun,a)ndri/,ἀνδρίς,noun,e)teleu/thse,τελευτάω,verb,zw=ntos,ζάω,verb,e)/ti,ἔτι,adverb,tou=,ὁ,article,patro/s,πατήρ,noun,u(/steron,ὕστερος,adjective,de\,δέ,particle,ka)kei/nou,ἐκεῖνος,pronoun,a)poqano/ntos,ἀποθνήσκω,verb,e)/laxen,λαγχάνω,verb,o(,ὁ,article,*xaire/stratos,tou=,ὁ,article,klh/rou,κλῆρος,adjective,kata\,κατά,preposition,to\n,ὁ,article,no/mon,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diamarturh/santos,διαμαρτυρέω,verb,de\,δέ,particle,*)androkle/ous,Ἀνδροκλέης,proper,mh\,μή,conjunction,ei)=nai,εἰμί,verb,e)pi/dikon,ἐπίδικος,adjective,o)/ntos,εἰμί,verb,*)antidw/rou,Ἀντίδωρος,proper,gnhsi/ou,γνήσιος,adjective,paido\s,παῖς,adjective,*eu)kth/moni,Εὐκτήμων,proper,oi(,peri\,περί,preposition,*xaire/straton,,,e)peskh/yanto,,,th=|,ὁ,article,diamarturi/a|,διαμαρτυρία,noun,kai\,καί,conjunction,tou=ton,οὗτος,pronoun,kai\,καί,conjunction,th\n,ὁ,article,a)delfh\n,ἀδελφή,noun,au)tou=,αὐτός,pronoun,no/qous,νόθος,adjective,gegone/nai,γίγνομαι,verb,fa/skontes,φάσκω,verb,to\n,ὁ,article,de\,δέ,particle,no/mon,νόμος,noun,diagoreu/ein,διαγορεύω,verb,no/qw|,νόθος,adjective,kai\,καί,conjunction,no/qh|,νόθος,adjective,mh\,μή,conjunction,ei)=nai,a)gxistei/an,ἀγχιστεία,noun,,,,,,,,,,,,,ἕ,pronoun,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,sta/sis,στάσις,adjective,stoxasmo/s,στοχασμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/dhlon,ἄδηλος,adjective,ga\r,γάρ,particle,ei),εἰ,conjunction,e)poi/hse,ποιέω,verb,*filokth/mwn,Φιλοκτήμων,proper,*xaire/straton,,,ui(o\n,υἱός,noun,e(autw=|,ἑαυτοῦ,pronoun,kai\,καί,conjunction,pa/lin,πάλιν,adverb,a)/dhlon,ἄδηλος,adjective,ei),gnh/sioi/,γνήσιος,adjective,ei)sin,εἰμί,verb,oi(,ὁ,article,peri\,περί,preposition,*)anti/dwron,Ἀντίδωρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,me/n,μέν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,pa/ntwn,πᾶς,adjective,oi)keio/tata,οἰκεῖος,adjective,lttugxa/nwgt,,,xrw/menos,χράομαι,verb,*fanostra/tw|,Φανόστρατος,proper,te,τε,particle,kai\,καί,conjunction,*xairestra/tw|,toutw|i/,οὗτος,pronoun,tou\s,ὁ,article,pollou\s,πολύς,adjective,oi)=mai,οἴομαι,verb,u(mw=n,σύ,pronoun,ei)de/nai,οἶδα,verb,toi=s,ὁ,article,de\,δέ,particle,mh\,μή,conjunction,ei)do/sin,οἶδα,verb,i(kano\n,ἱκανός,adjective,e)rw=,ἐράομαι,verb,tekmh/rion,τεκμήριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/te,ὅτε,conjunction,ga\r,γάρ,particle,ei)s,εἰς,preposition,*sikeli/an,Σικελία,proper,e)ce/plei,ἐκπλέω,verb,trihrarxw=n,τριηραρχέω,verb,*xaire/stratos,,,dia\,διά,preposition,to\,ὁ,article,pro/teron,πρότερος,adjective,au)to\s,αὐτός,pronoun,e)kpepleuke/nai,proh/|dein,πρόοιδα,verb,pa/ntas,πᾶς,adjective,tou\s,ὁ,article,e)some/nous,εἰμί,verb,kindu/nous,κίνδυνος,noun,o(/mws,ὅμως,conjunction,de\,δέ,particle,deome/nwn,δέομαι,verb,tou/twn,οὗτος,pronoun,kai\,καί,conjunction,sunece/pleusa,συνεκπλέω,verb,kai\,καί,conjunction,sunedustu/xhsa,συνδυστυχέω,verb,kai\,καί,conjunction,e(a/lwmen,ἁλίσκομαι,verb,ei)s,εἰς,preposition,tou\s,ὁ,article,polemi/ous,πολέμιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκπλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/topon,ἄτοπος,adjective,dh\,δή,particle,ei),εἰ,conjunction,e)kei=na,ἐκεῖνος,pronoun,me\n,μέν,particle,prodh/lwn,πρόδηλος,adjective,o)/ntwn,εἰμί,verb,tw=n,ὁ,article,kindu/nwn,κίνδυνος,noun,o(/mws,ὅμως,conjunction,dia\,διά,preposition,to\,xrh=sqai,χράομαι,verb,tou/tois,οὗτος,pronoun,kai\,καί,conjunction,fi/lous,φίλος,adjective,nomi/zein,νομίζω,verb,u(pe/menon,ὑφίημι,verb,nu=n,νῦν,adverb,de\,δέ,particle,ou),οὐ,adverb,peirw/|mhn,πειράω,verb,suneipei=n,συνεῖπον,verb,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,u(mei=s,σύ,pronoun,te,τε,particle,ta\,ὁ,article,eu)/orka,εὔορκος,adjective,yhfiei=sqe,ψηφίζομαι,verb,kai\,καί,conjunction,tou/tois,οὗτος,pronoun,ta\,ὁ,article,di/kaia,δίκαιος,adjective,genh/setai,,,,,,,,,,,,,,,,ὁ,article,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de/omai,δέομαι,verb,ou)=n,οὖν,particle,u(mw=n,σύ,pronoun,suggnw/mhn,συγγνώμη,adjective,te,τε,particle,e)/xein,ἔχω,verb,kai\,καί,conjunction,met',μετά,preposition,eu)noi/as,εὔνοια,noun,a)kroa/sasqai,ἀκροάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,a)gw\n,ἀγών,noun,ou),οὐ,adverb,mikro\s,μικρός,adjective,au)toi=s,αὐτός,pronoun,a)lla\,ἀλλά,adverb,peri\,περί,preposition,tw=n,ὁ,article,megi/stwn,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*filokth/mwn,Φιλοκτήμων,proper,ga\r,γάρ,particle,o(,ὁ,article,*khfisieu\s,Κηφισιεύς,proper,fi/los,φίλος,adjective,h)=n,εἰμί,verb,*xairestra/tw|,,,toutw|i\,οὗτος,pronoun,dou\s,δίδωμι,verb,de\,δέ,particle,ta\,ὁ,article,e(autou=,kai\,καί,conjunction,u(o\n,υἱός,noun,au)to\n,αὐτός,pronoun,poihsa/menos,ποιέω,verb,e)teleu/thse,τελευτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
