word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/62/lemma/@_entry,word/62/lemma/@_POS
e)peidh\,ἐπεί,conjunction,kai\,καί,conjunction,pro/teron,πρότερος,adjective,a)gw=nes,ἀγών,noun,e)ge/nonto,γίγνομαι,verb,h(mi=n,ἐγώ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,pro\s,πρός,preposition,tou\s,ὁ,article,au)tou\s,αὐτός,pronoun,tou/tous,οὗτος,pronoun,peri\,περί,preposition,tou=,ὁ,article,klh/rou,κλῆρος,adjective,tou=,ὁ,article,*(agni/ou,Ἁγνίης,proper,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,pau/ontai,παύω,verb,paranomou=ntes,παρανομέω,verb,kai\,καί,conjunction,biazo/menoi,βιάζω,verb,w(/ste,ὥστε,conjunction,e)k,ἐκ,preposition,panto\s,πᾶς,adjective,tro/pou,τρόπος,noun,ta\,ὁ,article,mh\,μή,conjunction,prosh/konq',προσήκω,verb,e(autoi=s,ἑαυτοῦ,pronoun,e)/xein,ἔχω,verb,a)na/gkh,ἀνάγκη,noun,i)/sws,ἴσως,adverb,e)sti\n,εἰμί,verb,ta\,ὁ,article,praxqe/nta,πράσσω,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,dihgh/sasqai,διηγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(mei=s,σύ,pronoun,te,τε,particle,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,r(a=|on,ῥάιος,adjective,parakolouqh/sete,παρακολουθέω,verb,a(/pasi,ἅπας,adjective,toi=s,ὁ,article,legome/nois,λέγω,verb,kai\,καί,conjunction,ou(=toi,οὗτος,pronoun,e)pideixqh/sontai,ἐπιδείκνυμι,verb,oi(=oi/,οἷος,adjective,ei)sin,εἰμί,verb,a)/nqrwpoi,ἄνθρωπος,noun,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,pa/lai,πάλαι,adverb,h)/dh,ἤδη,adverb,a)rca/menoi,ἄρχω,verb,ou)de\n,οὐδείς,pronoun,pau/ontai,παύω,verb,kakotexnou=ntes,κακοτεχνέω,verb,kai\,καί,conjunction,oi)o/menoi,οἴομαι,verb,dei=n,δέω,verb,diapra/ttesqai,διαπράσσω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,a)\n,ἄν,particle,e)pe/lqh|,ἐπέρχομαι,verb,tou/tois,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deo/meqa,δέομαι,verb,ou)=n,οὖν,particle,u(mw=n,σύ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,eu)noi+kw=s,εὐνοικός,adjective,a)kroa/sasqai,ἀκροάομαι,verb,tw=n,ὁ,article,legome/nwn,λέγω,verb,kai\,καί,conjunction,parakolouqei=n,παρακολουθέω,verb,prose/xontas,προσέχω,verb,to\n,ὁ,article,nou=n,νόος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peira/somai,πειράω,verb,de\,δέ,particle,ka)gw\,ἐγώ,pronoun,dida/skein,διδάσκω,verb,w(s,ὡς,conjunction,a)\n,ἄν,particle,oi(=o/s,οἷος,adjective,te,τε,particle,w)=,ὦ,interjection,safe/stata,σαφής,adverb,peri\,περί,preposition,tw=n,ὁ,article,pepragme/nwn,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toutoui\,οὗτος,pronoun,ga\r,γάρ,particle,tou=,ὁ,article,paido\s,παῖς,adjective,h(,ὁ,article,mh/thr,μήτηρ,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,ge/nei,γένος,noun,ou)=sa,εἰμί,verb,e)gguta/tw,ἐγγύς,adverb,*(agni/a|,Ἁγνίης,proper,tw=|,ὁ,article,e)c,ἐκ,preposition,*oi)/ou,Οἶον,proper,e)pedika/sato,ἐπιδικάζω,verb,tou=,ὁ,article,klh/rou,κλῆρος,adjective,tou=,ὁ,article,*(agni/ou,Ἁγνίης,proper,kata\,κατά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,tou\s,ὁ,article,u(mete/rous,ὑμέτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tw=n,ὁ,article,to/te,τότε,adverb,a)mfisbhthsa/ntwn,ἀμφισβητέω,verb,au)th=|,αὐτός,pronoun,tou=,ὁ,article,klh/rou,κλῆρος,adjective,toutoui/,οὗτος,pronoun,ge/nei,γένος,noun,me\n,μέν,particle,w(s,ὡς,conjunction,e)ggute/rw,ἐγγύς,adverb,tis,τις,pronoun,ei)/h,ἀίω,verb,au)tw=n,αὐτός,pronoun,th=s,ὁ,article,gunaiko/s,γυνή,noun,ou)d',οὐδέ,particle,e)pexei/rhsen,ἐπιχειρέω,verb,ou)dei\s,οὐδείς,pronoun,a)ntomo/sai,ἀντόμνυμι,verb,w(mologei=to,ὁμολογέω,verb,ga\r,γάρ,particle,para\,παρά,preposition,pa/ntwn,πᾶς,adjective,th=s,ὁ,article,gunaiko\s,γυνή,noun,ei)=nai,εἰμί,verb,h(,ὁ,article,klhronomi/a,κληρονομία,noun,kata\,κατά,preposition,th\n,ὁ,article,a)gxistei/an),ἀγχιστεία,noun,diaqh/kas,διαθήκη,noun,de\,δέ,particle,yeudei=s,ψευδής,adverb,h(=kon,ἥκω,verb,kataskeua/santes,κατασκευάζω,verb,*glau=ko/s,Γλαύκος,proper,te,τε,particle,o(,ὁ,article,e)c,ἐκ,preposition,*oi)/ou,Οἶον,proper,kai\,καί,conjunction,*glau/kwn,Γλαύκος,proper,o(,ὁ,article,a)delfo\s,ἀδελφός,adjective,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,*qeo/pompos,Θεόπομπος,proper,o(,ὁ,article,toutoui\,οὗτος,pronoun,path\r,πατήρ,noun,*makarta/tou,Μακάρτατος,proper,e)kei/nois,ἐκεῖνος,pronoun,sugkateskeu/azen,συγκατασκευάζω,verb,a(/panta,ἅπας,adjective,tau=ta,οὗτος,pronoun,kai\,καί,conjunction,e)martu/rei,μαρτυρέω,verb,ta\s,ὁ,article,plei/stas,πλεῖστος,adjective,marturi/as,μαρτυρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,de\,δέ,particle,diaqh=kai,διαθήκη,noun,a(\s,ὅς,pronoun,to/te,τότε,adverb,pare/sxonto,παρέχω,verb,e)chle/gxqhsan,ἐξελέγχω,verb,yeudei=s,ψευδής,adverb,ou)=sai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou),οὐ,adverb,mo/non,μόνος,adjective,h(tth/qhsan,ἡσσάομαι,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,ponhro/tatoi,πονηρός,adjective,do/cantes,δοκέω,verb,ei)=nai,εἰμί,verb,a)phlla/ttonto,ἀπαλλάσσω,verb,a)po\,ἀπό,preposition,tou=,ὁ,article,dikasthri/ou,δικαστήριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)pidhmw=n,ἐπιδημέω,verb,to/te,τότε,adverb,*qeo/pompos,Θεόπομπος,proper,o(,ὁ,article,toutoui\,οὗτος,pronoun,path\r,πατήρ,noun,*makarta/tou,Μακάρτατος,proper,kai\,καί,conjunction,tou=,ὁ,article,kh/rukos,κῆρυξ,noun,khru/ttontos,κηρύσσω,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,a)mfisbhtei=n,ἀμφισβητέω,verb,h)\,ἠέ,conjunction,parakataba/llein,παρακαταβάλλω,verb,bou/letai,βούλομαι,verb,tou=,ὁ,article,klh/rou,κλῆρος,adjective,tou=,ὁ,article,*(agni/ou,Ἁγνίης,proper,h)\,ἠέ,conjunction,kata\,κατά,preposition,ge/nos,γένος,noun,h)\,ἠέ,conjunction,kata\,κατά,preposition,diaqh/kas,διαθήκη,noun,ou)k,οὐ,adverb,e)to/lmhsen,τολμάω,verb,parakatabalei=n,παρακαταβάλλω,verb,a)ll',ἀλλά,adverb,au)to\s,αὐτός,pronoun,e(autw=|,ἑαυτοῦ,pronoun,e)di/kasen,δικάζω,verb,o(/ti,ὅστις,pronoun,ou)damo/qen,οὐδαμόθεν,adverb,au)tw=|,αὐτός,pronoun,prosh=ken,προσήκω,verb,ou)de\n,οὐδείς,pronoun,tou=,ὁ,article,klh/rou,κλῆρος,adjective,tou=,ὁ,article,*(agni/ou,Ἁγνίης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
