word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/28/lemma/@_entry,word/28/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/lemma/@_entry,word/42/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS
paroimi/an,παροιμία,noun,tina\,τις,pronoun,palaia\n,παλαιός,adjective,w)=,ὦ,interjection,*polu/krates,Πολυκράτης,proper,dei/sas,δείδω,verb,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,to\,ὁ,article,du/sfhmon,δύσφημος,adjective,au)th=s,αὐτός,pronoun,o(,ὁ,article,filo/sofos,φιλόσοφος,noun,*xru/sippos,Χρύσιππος,proper,ou)x,οὐ,adverb,o(\n,ὅς,pronoun,e)/xei,ἔχω,verb,tro/pon,τρόπος,noun,a)ll',ἀλλά,adverb,w(s,ὡς,conjunction,au)to\s,αὐτός,pronoun,w)/|eto,οἴομαι,verb,be/ltion,βελτίων,adverb,ei)=nai,εἰμί,verb,diati/qetai,διατίθημι,verb,ti/s,τίς,pronoun,pate/r',πατήρ,noun,ai)nh/sei,αἰνέω,verb,ei\,mh\,μή,conjunction,eu)dai/mones,εὐδαίμων,adjective,ui(oi/,υἱός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dionuso/dwros,Διονυσόδωρος,proper,de\,δέ,particle,o(,ὁ,article,*troizh/nios,Τροιζήνιος,proper,e)le/gxwn,ἐλέγχω,verb,au)to\n,αὐτός,pronoun,a)ntekti/qhsi,ἀντεκτίθημι,verb,th\n,ὁ,article,a)lhqinh\n,ἀληθινός,adjective,ou(/tws,οὕτως,adverb,e)/xousan,ἔχω,verb,ti/s,τίς,pronoun,pate/r',πατήρ,noun,ai)nh/sei,αἰνέω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,kakodai/mones,κακοδαίμων,adjective,ui(oi/,υἱός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,fhsi,φημί,verb,tou\s,ὁ,article,a)f',ἀπό,preposition,au(tw=n,ἑαυτοῦ,pronoun,ou)deno\s,οὐδείς,pronoun,a)ci/ous,ἄξιος,adjective,o)/ntas,εἰμί,verb,u(poduome/nous,ὑποδύομαι,verb,de\,δέ,particle,progo/nwn,πρόγονος,adjective,tinw=n,τις,pronoun,a)retai=s,ἀρετή,noun,kai/,καί,conjunction,pleona/zontas,πλεονάζω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,e)kei/nwn,ἐκεῖνος,pronoun,e)pai/nois,ἔπαινος,noun,u(po\,ὑπό,preposition,th=s,ὁ,article,paroimi/as,παροιμία,noun,e)pistomi/zesqai,ἐπιστομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,w(=|,ὅς,pronoun,ge,γε,particle,fu/sei,φύσις,noun,to\,ὁ,article,gennai=on,γενναῖος,adjective,e)pipre/pei,ἐπιπρέπω,verb,e)k,ἐκ,preposition,pate/rwn,πατήρ,noun,kata\,κατά,preposition,*pi/ndaron,Πίνδαρος,proper,w(/sper,ὥσπερ,adverb,soi/,σύ,pronoun,pro\s,πρός,preposition,to\,ὁ,article,ka/lliston,καλός,noun,a)fomoiou=nti,ἀφομοιόω,verb,tw=n,ὁ,article,oi)/koqen,οἴκοθεν,adverb,paradeigma/twn,παράδειγμα,noun,to\n,ὁ,article,bi/on,βίος,adjective,eu)/daimon,εὐδαίμων,adjective,a)\n,ἄν,particle,ei)/h,ἀίω,verb,to\,ὁ,article,memnh=sqai,μιμνήσκω,verb,tw=n,ὁ,article,a)po\,ge/nous,γένος,noun,a)ri/stwn,ἄριστος,adjective,a)kou/ontas,ἀκούω,verb,ἀπό,preposition,peri\,περί,preposition,au(tw=n,ἑαυτοῦ,pronoun,a)ei/,ἀεί,adverb,ti,τις,pronoun,kai/,καί,conjunction,le/gontas,λέγω,verb,ou),οὐ,adverb,ga\r,γάρ,particle,i)di/wn,ἴδιος,adjective,plutarch's,lies,a)pori/a|,ἀπορία,noun,kalw=n,κάλη,adjective,e)cartw=sin,ἐξαρτάω,verb,a)llotri/wn,ἀλλότριος,adjective,e)pai/nwn,ἔπαινος,noun,th\n,ὁ,article,do/can,δόξα,noun,a)lla\,ἀλλά,adverb,toi=s,ὁ,article,e)kei/nwn,ἐκεῖνος,pronoun,ta\,ὁ,article,oi)kei=a,οἰκεῖος,adjective,suna/ptontes,συνάπτω,verb,w(s,ὡς,conjunction,kai/,καί,conjunction,tou=,ὁ,article,ge/nous,γένος,noun,kai/,καί,conjunction,tou=,ὁ,article,bi/ou,βίος,adjective,kaqhgemo/nas,καθηγεμών,noun,eu)fhmou=si,εὐφημέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,ka)gw\,ἐγώ,pronoun,to\n,ὁ,article,*)ara/tou,Ἄρατος,proper,tou=,ὁ,article,sou=,σός,adjective,poli/tou,πολίτης,noun,kai/,καί,conjunction,propa/toros,προπάτωρ,noun,bi/on,βίος,adjective,o(\n,ὅς,pronoun,ou)/te,οὔτε,adverb,th=|,ὁ,article,do/ch|,δόξα,noun,th=|,ὁ,article,peri\,περί,preposition,seauto\n,σαυτοῦ,pronoun,ou)/te,οὔτε,adverb,th=|,ὁ,article,duna/mei,δύναμις,adjective,kataisxu/neis,καταισχύνω,verb,a)pe/stalka/,ἀποστέλλω,verb,soi/,σύ,pronoun,suggraya/menos,συγγράφω,verb,ou)x,οὐ,adverb,w(s,ὡς,conjunction,ou)xi\,οὐ,adverb,pa/ntwn,πᾶς,adjective,a)kribe/stata/,soi/,σύ,pronoun,memelhko\s,μέλω,verb,e)c,ἐκ,preposition,ἀκριβής,adjective,a)rxh=s,ἀρχή,noun,e)pi/stasqai,ἐφίστημι,verb,ta\s,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,pra/ceis,πρᾶξις,adjective,a)ll',ἀλλά,adverb,o(/pws,ὅπως,conjunction,oi(,ὁ,article,pai=de/s,παῖς,adjective,sou,*polukra/ths,kai/,καί,conjunction,*puqoklh=s,Πυθοκλέης,proper,oi)kei/ois,οἰκεῖος,adjective,paradei/gmasin,παράδειγμα,noun,e)ntre/fwntai,ἐντρέφω,verb,ta\,ὁ,article,me\n,μέν,particle,a)kou/ontes,ἀκούω,verb,ta\,ὁ,article,de\,δέ,particle,a)naginw/skontes,ἀναγιγνώσκω,verb,a(/per,ὅς,pronoun,au)tou\s,αὐτός,pronoun,mimei=sqai,μιμέομαι,verb,prosh/kei,προσήκω,verb,filau/tou,φίλαυτος,adjective,ga\r,γάρ,particle,a)ndro/s,ἀνήρ,noun,ou),οὐ,adverb,filoka/lou,φιλόκαλος,adjective,panto\s,πᾶς,adjective,a)ei\,ἀεί,adverb,σύ,pronoun,Πολυκράτης,proper,be/ltiston,βέλτιστος,adjective,h(gei=sqai,ἡγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,*sikuwni/wn,Σικυών,proper,po/lis,πόλις,adjective,e)pei\,ἐπεί,conjunction,to\,ὁ,article,prw=ton,πρότερος,adjective,e)k,ἐκ,preposition,th=s,ὁ,article,a)kra/tou,ἄκρατος,adjective,kai\,καί,conjunction,*dwrikh=s,Δωρικός,adjective,a)ristokrati/as,ἀριστοκρατία,noun,w(/sper,ὥσπερ,adverb,a(rmoni/as,ἁρμονία,noun,sugxuqei/shs,συγχέω,verb,ei)s,εἰς,preposition,sta/seis,στάσις,adjective,e)ne/pese,ἐμπίτνω,verb,kai\,καί,conjunction,filotimi/as,φιλοτιμία,noun,dhmagwgw=n,δημαγωγέω,verb,ou)k,οὐ,adverb,e)pau/sato,ἐπαύω,verb,nosou=sa,νοσέω,verb,kai\,καί,conjunction,tarattome/nh,ταράσσω,verb,kai\,καί,conjunction,tu/rannon,τύραννος,noun,e)k,tura/nnou,τύραννος,noun,metaba/llousa,μεταβάλλω,verb,me/xri,μέχρι,preposition,ἐκ,preposition,ou(=,ἕ,pronoun,*kle/wnos,Κλέων,proper,a)naireqe/ntos,ἀναιρέω,verb,ei(/lonto,αἱρέω,verb,*timoklei/dan,Τιμοκλείδης,proper,a)/rxonta,ἄρχων,noun,kai\,καί,conjunction,*kleini/an,Κλεινίης,proper,a)/ndras,ἀνήρ,noun,e)ndo/cous,ta\,ma/lista,μάλιστα,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,duna/mei,δύναμις,adjective,tw=n,ὁ,article,politw=n,πολίτης,noun,o)/ntas,εἰμί,verb,h)/dh,ἤδη,adverb,de/,δέ,particle,tina,τις,pronoun,th=s,ὁ,article,politei/as,πολιτεία,noun,kata/stasin,κατάστασις,noun,e)/xein,ἔχω,verb,dokou/shs,δοκέω,verb,*timoklei/das,Τιμοκλείδης,proper,me\n,μέν,particle,a)pe/qanen,ἀποθνήσκω,verb,*)abanti/das,Ἀβαντίδης,proper,de\,δέ,particle,o(,ὁ,article,*pase/ou,Πασέης,proper,ἔνδοξος,adjective,ὁ,article,turanni/da,τυραννίς,noun,pra/ttwn,πράσσω,verb,e(autw=|,ἑαυτοῦ,pronoun,to\n,ὁ,article,*kleini/an,Κλεινίης,proper,a)pe/kteine,ἀποκτείνω,verb,kai\,καί,conjunction,tw=n,ὁ,article,fi/lwn,φίλος,adjective,kai\,καί,conjunction,oi)kei/wn,οἰκεῖος,adjective,tou\s,ὁ,article,me\n,μέν,particle,e)ce/bale,ἐκβάλλω,verb,tou\s,ὁ,article,de\,δέ,particle,a)nei=len,ἀναιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)zh/tei,ζητέω,verb,de\,δέ,particle,kai\,καί,conjunction,to\n,ὁ,article,ui(o\n,υἱός,noun,au)tou=,αὐτός,pronoun,*)/araton,Ἄρατος,proper,a)nelei=n,ἀναιρέω,verb,e(ptaeth=,ἑπταετής,adjective,kataleleimme/non,καταλιμπάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,th=|,ὁ,article,peri\,περί,preposition,th\n,ὁ,article,oi)ki/an,οἰκία,noun,taraxh=|,ταραχή,noun,sunekpesw\n,συνεκπίπτω,verb,toi=s,ὁ,article,feu/gousin,φεύγω,verb,o(,ὁ,article,pai=s,πᾶς,adjective,kai\,καί,conjunction,planw/menos,πλανάω,verb,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,peri/fobos,περίφοβος,adjective,kai\,καί,conjunction,a)boh/qhtos,ἀβοήθητος,adjective,kata\,κατά,preposition,tu/xhn,τύχη,noun,e)/laqen,ἐλαύνω,verb,ei)s,εἰς,preposition,oi)ki/an,οἰκία,noun,parelqw\n,παρέρχομαι,verb,gunaiko/s,γυνή,noun,a)delfh=s,ἀδελφή,noun,me\n,*)abanti/dou,Ἀβαντίδης,proper,*profa/ntw|,πρόφαντος,adjective,de\,δέ,particle,μέν,particle,tw=|,ὁ,article,*kleini/ou,Κλεινίης,proper,a)delfw=|,ἀδελφός,adjective,gegamhme/nhs,γαμέω,verb,o)/noma,ὄνομα,adjective,*swsou=s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au(/th,οὗτος,pronoun,de\,δέ,particle,kai\,καί,conjunction,to\,ὁ,article,h)=qos,ἦθος,adjective,ou)=sa,εἰμί,verb,gennai/a,γενναῖος,adjective,kai\,καί,conjunction,su\n,σύν,preposition,qew=|,θεός,noun,tini,τις,pronoun,to\,ὁ,article,paidi/on,παιδίον,noun,oi)ome/nh,οἴομαι,verb,katapefeuge/nai,καταφεύγω,verb,pro\s,πρός,preposition,au)th/n,αὐτός,pronoun,a)pe/kruyen,ἀποκρύπτω,verb,e)/ndon,ἔνδον,adverb,ei)=ta,εἶτα,adverb,nukto\s,νύξ,adjective,ei)s,εἰς,preposition,*)/argos,Ἄργος,proper,u(pece/pemyen,ὑπεκπέμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,d',δέ,particle,e)kklape/nti,ἐκκλέπτω,verb,tw=|,ὁ,article,*)ara/tw|,Ἄρατος,proper,kai\,καί,conjunction,diafugo/nti,διαφεύγω,verb,to\n,ὁ,article,ki/ndunon,κίνδυνος,noun,eu)qu\s,εὐθύς,adverb,me\n,μέν,particle,e)nefu/eto,ἐμφύω,verb,kai\,καί,conjunction,sunhu/ceto,συναυξάνω,verb,to\,ὁ,article,sfodro\n,σφοδρός,adjective,kai\,καί,conjunction,dia/puron,διάπυρος,adjective,mi=sos,μῖσος,noun,e)pi\,ἐπί,preposition,tou\s,ὁ,article,tura/nnous,τύραννος,noun,trefo/menos,τρέφω,verb,de\,δέ,particle,para\,παρά,preposition,toi=s,ὁ,article,e)n,ἐν,preposition,*)/argei,Ἄργος,proper,ce/nois,kai\,καί,conjunction,fi/lois,φίλος,adjective,patrw/|ois,πατρῷος,adjective,ξένος,noun,e)leuqeri/ws,ἐλευθέριος,adjective,kai\,καί,conjunction,to\,ὁ,article,sw=ma,σῶμα,adjective,blasta/non,βλαστάνω,verb,o(rw=n,ὁράω,verb,ei)s,εἰς,preposition,eu)eci/an,εὐεξία,noun,kai\,καί,conjunction,me/geqos,e)pe/dwken,e(auto\n,ἑαυτοῦ,pronoun,a)skh/sei,ἀσκέω,verb,th=|,ὁ,article,peri\,περί,preposition,palai/stran,παλαίστρα,noun,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,pe/ntaqlon,πένταθλον,noun,a)gwni/sasqai,ἀγωνίζομαι,verb,kai\,καί,conjunction,stefa/nwn,στέφανος,noun,tuxei=n,τυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέγεθος,adjective,ἐπιδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
