word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/20/lemma/@_entry,word/20/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS
o(/sa,ὅσος,adjective,de\,δέ,particle,*)anni/bas,Ἀννίβας,proper,o(,ὁ,article,*karxhdo/nios,Καρχηδόνιος,proper,e)c,ἐκ,preposition,*)ibhri/as,Ἰβηρίη,proper,e)s,εἰς,preposition,*)itali/an,Ἰταλία,proper,e)sbalw/n,εἰσβάλλω,verb,e(kkai/deka,ἑκκαίδεκα,noun,e)/tesin,ἔτος,noun,oi(=s,ὅς,pronoun,e)pe/meine,ἐπιμένω,verb,polemw=n,πολεμέω,verb,e)/drase/,δράω,verb,te,τε,particle,kai\,καί,conjunction,e)/paqen,πάσχω,verb,u(po\,ὑπό,preposition,*(rwmai/wn,e(/ws,ἕως,conjunction,au)to\n,αὐτός,pronoun,*karxhdo/nioi/,Καρχηδόνιος,proper,te,τε,particle,kinduneu/ontes,κινδυνεύω,verb,peri\,περί,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,e)pi\,ἐπί,preposition,ta\,ὁ,article,sfe/tera,σφέτερος,adjective,metepe/myanto,μεταπέμπω,verb,kai\,καί,conjunction,*(rwmai=oi,th=s,ὁ,article,*)itali/as,Ἰταλία,proper,e)ch/lasan,ἐξελαύνω,verb,h(/de,ὅδε,pronoun,h(,ὁ,article,grafh\,γραφή,noun,dhloi=,δηλόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/,ὅς,pronoun,tis,τις,pronoun,de\,δέ,particle,tw=|,ὁ,article,*)anni/ba|,Ἀννίβας,proper,ge/gone,γίγνομαι,verb,th=s,ὁ,article,e)sbolh=s,εἰσβολή,noun,ai)ti/a,αἰτία,noun,te,τε,particle,a)lhqh\s,ἀληθής,adjective,kai\,καί,conjunction,pro/fasis,πρόφασις,noun,e)s,εἰς,preposition,to\,ὁ,article,fanero/n,φανερός,adjective,a)kribe/stata,ἀκριβής,adjective,me\n,μέν,particle,e)n,ἐν,preposition,th=|,ὁ,article,*)ibhrikh=|,suggrafh=|,συγγραφεύς,noun,dedh/lwtai,δηλόω,verb,suggra/yw,συγγράφω,verb,de\,δέ,particle,kai\,καί,conjunction,nu=n,νῦν,adverb,o(/son,ὅσος,adjective,e)s,εἰς,preposition,a)na/mnhsin,ἀνάμνησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἰβηρικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ami/lxar,,,w(=|,ὅς,pronoun,*ba/rkas,Βάρκα,proper,e)piklhsis,,,h)=n,εἰμί,verb,*)anni/bou,Ἀννίβας,proper,tou=de,ὅδε,pronoun,path/r,πατήρ,noun,e)strath/gei,στρατηγέω,verb,*karxhdoni/wn,Καρχηδόνιος,proper,e)n,ἐν,preposition,*sikeli/a|,Σικελία,proper,o(/te,ὅτε,conjunction,*(rwmai=oi,,,kai\,καί,conjunction,*karxhdo/nioi,Καρχηδόνιος,proper,peri\,περί,preposition,au)th=s,αὐτός,pronoun,a)llh/lois,ἀλλήλων,pronoun,e)pole/moun,πολεμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do/cas,δοκέω,verb,de\,δέ,particle,pra=cai,πράσσω,verb,kakw=s,κακός,adjective,u(po\,ὑπό,preposition,tw=n,ὁ,article,e)xqrw=n,ἐχθρός,adjective,e)diw/keto,διώκω,verb,kai\,καί,conjunction,dediw\s,δείδω,verb,e)/pracen,πράσσω,verb,e)s,εἰς,preposition,tou\s,ὁ,article,*noma/das,νομάς,noun,ai(reqh=nai,αἱρέω,verb,strathgo\s,στρατηγός,noun,pro\,πρό,preposition,tw=n,ὁ,article,eu)qunw=n,εὔθυνα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geno/menos,γίγνομαι,verb,de\,δέ,particle,xrh/simos,χρήσιμος,adjective,e)n,ἐν,preposition,tw=|de,ὅδε,pronoun,kai\,καί,conjunction,th\n,ὁ,article,stratia\n,στρατία,noun,qerapeu/sas,θεραπεύω,verb,a(rpagai=s,ἁρπαγή,noun,kai\,καί,conjunction,dwreai=s,δωρεά,noun,h)/gagen,ἄγω,verb,a)/neu,ἄνευ,preposition,tou=,ὁ,article,koinou=,κοινός,adjective,*karxhdoni/wn,Καρχηδόνιος,proper,e)pi\,ἐπί,preposition,*ga/deira,Γάδειρα,proper,kai\,καί,conjunction,e)pe/rase,to\n,ὁ,article,porqmo\n,πορθμός,noun,e)s,εἰς,preposition,*)ibhri/an,Ἰβηρίη,proper,o(/qen,ὅθεν,adverb,la/fura,λάφυρα,adjective,polla\,πολύς,adjective,die/pempen,διαπέμπω,verb,e)s,εἰς,preposition,*karxhdo/na,Καρχηδών,proper,qerapeu/wn,θεραπεύω,verb,to\,ὁ,article,plh=qos,πλῆθος,noun,ei),du/naito,δύναμαι,verb,mh\,μή,conjunction,xalepai/nein,χαλεπαίνω,verb,au)tw=|,αὐτός,pronoun,th=s,ὁ,article,strathgi/as,στρατηγία,noun,th=s,ὁ,article,ἐπιρραίνω,verb,εἰ,conjunction,e)n,ἐν,preposition,*sikeli/a|,Σικελία,proper,xw/ran,χώρα,noun,d',δέ,particle,au)tou=,αὐτός,pronoun,kataktwme/nou,κατακτάομαι,verb,pollh\n,πολύς,adjective,kle/os,κλέος,noun,te,τε,particle,me/ga,μέγας,adverb,h)=n,εἰμί,verb,kai\,καί,conjunction,*karxhdoni/ois,Καρχηδόνιος,proper,e)piqumi/a,ἐπιθυμία,noun,pa/shs,πᾶς,adjective,*)ibhri/as,Ἰβηρίη,proper,w(s,ὡς,conjunction,eu)marou=s,εὐμαρής,adverb,e)/rgou,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*zakanqai=oi,,,de/,δέ,particle,kai\,καί,conjunction,o(/soi,ὅσος,adjective,a)/lloi,ἄλλος,adjective,*(/ellhnes,Ἕλλην,proper,e)n,ἐν,preposition,*)ibhri/a|,Ἰβηρίη,proper,katafeu/gousin,καταφεύγω,verb,e)pi\,ἐπί,preposition,*(rwmai/ous,,,kai\,καί,conjunction,gi/gnetai,γίγνομαι,verb,*karxhdoni/ois,Καρχηδόνιος,proper,o(/ros,ὅρος,adjective,*)ibhri/as,Ἰβηρίη,proper,mh\,μή,conjunction,diabai/nein,διαβαίνω,verb,to\n,ὁ,article,*)/ibhra,Ἴβηρ,proper,potamo/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ποταμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to/de,ὅδε,pronoun,tai=s,ὁ,article,*(rwmai/wn,,,kai\,καί,conjunction,*karxhdoni/wn,Καρχηδόνιος,proper,spondai=s,σπονδή,noun,e)negra/fh,ἐγγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,tou/tw|,οὗτος,pronoun,*ba/rkas,Βάρκα,proper,me\n,μέν,particle,th\n,ὁ,article,u(po\,ὑπό,preposition,*karxhdoni/ois,Καρχηδόνιος,proper,*)ibhri/an,Ἰβηρίη,proper,kaqista/menos,καθίστημι,verb,e)/n,ἐν,preposition,tini,τις,pronoun,ma/xh|,μάχη,noun,pesw\n,πίπτω,verb,a)poqnh/skei,ἀποθνήσκω,verb,kai\,καί,conjunction,strathgo\s,στρατηγός,noun,*)asdrou/bas,Ἀσδρούβας,proper,e)p',ἐπί,preposition,au)tw=|,αὐτός,pronoun,gi/gnetai,o(\s,ὅς,pronoun,e)kh/deue,κηδεύω,verb,tw=|,ὁ,article,*ba/rka|,Βάρκα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to/nde,ὅδε,pronoun,me\n,μέν,particle,ktei/nei,κτείνω,verb,qera/pwn,θέραψ,noun,e)n,ἐν,preposition,kunhgesi/ois,κυνηγέσιον,noun,ou(=,ἕ,pronoun,to\n,ὁ,article,despo/thn,δεσπότης,adjective,a)nh|rh/kei,ἀναιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri/tos,τρίτος,adjective,de\,δέ,particle,e)pi\,ἐπί,preposition,toi=sde,ὅδε,pronoun,strathgo\s,στρατηγός,noun,*)ibh/rwn,Ἴβηρ,proper,u(po\,ὑπό,preposition,th=s,ὁ,article,stratia=s,στρατία,noun,a)podei/knutai,ἀποδείκνυμι,verb,filopo/lemos,φιλοπόλεμος,adjective,kai\,καί,conjunction,suneto\s,συνετός,adjective,ei)=nai,εἰμί,verb,dokw=n,δοκάζω,verb,*)anni/bas,Ἀννίβας,proper,o(/de,ὅδε,pronoun,*ba/rka,Βάρκα,proper,me\n,μέν,particle,ui(o\s,υἱός,noun,w)/n,*)asdrou/bou,Ἀσδρούβας,proper,de\,δέ,particle,th=s,ὁ,article,gunaiko\s,γυνή,noun,a)delfo/s,ἀδελφός,adjective,ne/os,νέος,adjective,de\,δέ,particle,komidh=|,κομιδῇ,adverb,kai\,καί,conjunction,w(s,ὡς,conjunction,meira/kion,μειράκιον,noun,e)/ti,ἔτι,adverb,tw=|,ὁ,article,patri\,kai\,καί,conjunction,tw=|,ὁ,article,khdesth=|,κηδεστής,adjective,sunw/n,σύνειμι,verb,,,,,,,,,,εἰμί,verb,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
