word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS
*paroimi/ai,παροιμία,noun,*salwmw=ntos,ui(ou=,υἱός,noun,*dauid,o(\s,ὅς,pronoun,e)basi/leusen,βασιλεύω,verb,e)n,ἐν,preposition,*israhl,gnw=nai,γιγνώσκω,verb,sofi/an,σοφία,noun,kai\,καί,conjunction,paidei/an,παιδεία,noun,noh=sai/,νοέω,verb,te,τε,particle,lo/gous,λόγος,noun,fronh/sews,φρόνησις,noun,de/casqai/,δέχομαι,verb,te,τε,particle,strofa\s,στροφάς,noun,lo/gwn,λόγος,noun,noh=sai/,νοέω,verb,te,τε,particle,dikaiosu/nhn,δικαιοσύνη,noun,a)lhqh=,ἀληθής,adjective,kai\,καί,conjunction,kri/ma,κρίμα,noun,kateuqu/nein,κατευθύνω,verb,i(/na,ἵνα,conjunction,dw=|,δίδωμι,verb,a)ka/kois,ἄκακος,adjective,panourgi/an,πανουργία,noun,paidi\,παῖς,adjective,de\,δέ,particle,ne/w|,νέος,adjective,ai)/sqhsi/n,αἰσθάνομαι,verb,te,τε,particle,kai\,καί,conjunction,e)/nnoian,ἔννοια,noun,tw=nde,ὅδε,pronoun,ga\r,γάρ,particle,a)kou/sas,ἀκέω,verb,sofo\s,σοφός,adjective,sofw/teros,σοφός,adjective,e)/stai,εἰμί,verb,o(,ὁ,article,de\,δέ,particle,noh/mwn,νοήμων,adjective,kube/rnhsin,κυβέρνησις,noun,kth/setai,κτάομαι,verb,noh/sei,νοέω,verb,te,τε,particle,parabolh\n,παραβολή,noun,kai\,καί,conjunction,skoteino\n,σκοτεινός,adjective,lo/gon,λόγος,noun,r(h/seis,ῥῆσις,noun,te,τε,particle,sofw=n,σοφός,adjective,kai\,καί,conjunction,ai)ni/gmata,αἴνιγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)arxh\,ἀρχή,noun,sofi/as,fo/bos,φόβος,noun,qeou=,su/nesis,σύνεσις,noun,de\,δέ,particle,a)gaqh\,ἀγαθός,adjective,pa=si,toi=s,ὁ,article,poiou=sin,ποιέω,verb,au)th/n,αὐτός,pronoun,eu)se/beia,εὐσέβεια,noun,de\,δέ,particle,ei)s,εἰς,preposition,qeo\n,θεός,noun,a)rxh\,ἀρχή,noun,ai)sqh/sews,αἴσθησις,noun,sofi/an,σοφία,noun,de\,δέ,particle,kai\,καί,conjunction,paidei/an,παιδεία,noun,a)sebei=s,ἀσεβής,adjective,e)couqenh/sousin,ἐξουθενέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σοφία,noun,θεός,noun,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/koue,ἀκούω,verb,ui(e/,paidei/an,παιδεία,noun,patro/s,sou,σύ,pronoun,kai\,καί,conjunction,mh\,μή,conjunction,a)pw/sh|,qesmou\s,θεσμός,noun,mhtro/s,μήτηρ,noun,sou,σύ,pronoun,ste/fanon,στέφανος,noun,ga\r,γάρ,particle,xari/twn,χάρις,noun,de/ch|,δέξις,noun,sh=|,σός,adjective,korufh=|,κορυφή,noun,kai\,καί,conjunction,kloio\n,κλοιός,noun,xru/seon,χρύσεος,adjective,peri\,περί,preposition,sw=|,σός,adjective,traxh/lw|,τράχηλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,υἱός,noun,πατήρ,noun,ἀπωθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ui(e/,υἱός,noun,mh/,se,σύ,pronoun,planh/swsin,a)/ndres,ἀνήρ,noun,a)sebei=s,ἀσεβής,adjective,mhde\,μηδέ,particle,boulhqh=|s,e)a\n,ἐάν,conjunction,parakale/swsi/,παρακαλέω,verb,se,σύ,pronoun,le/gontes,λέγω,verb,*)elqe\,ἔρχομαι,verb,meq',μετά,preposition,h(mw=n,ἐγώ,pronoun,koinw/nhson,κοινωνέω,verb,ai(/matos,αἷμα,noun,kru/ywmen,κρύπτω,verb,de\,δέ,particle,ei)s,εἰς,preposition,gh=n,γῆ,noun,a)/ndra,ἀνήρ,noun,di/kaion,δίκαιος,adjective,a)di/kws,ἄδικος,adjective,katapi/wmen,καθάπτω,verb,de\,δέ,particle,au)to\n,αὐτός,pronoun,w(/sper,ὥσπερ,adverb,a(/|dhs,ᾅδης,noun,zw=nta,ζάω,verb,kai\,καί,conjunction,a)/rwmen,αἴρω,verb,au)tou=,αὐτός,pronoun,th\n,ὁ,article,mnh/mhn,μνήμη,noun,e)k,ἐκ,preposition,gh=s,γῆ,noun,th\n,ὁ,article,kth=sin,κτῆσις,noun,au)tou=,αὐτός,pronoun,th\n,ὁ,article,polutelh=,πολυτελής,adverb,katalabw/meqa,καταλαμβάνω,verb,plh/swmen,πίμπλημι,verb,de\,δέ,particle,oi)/kous,οἶκος,noun,h(mete/rous,ἡμέτερος,adjective,sku/lwn,σκῦλον,noun,to\n,ὁ,article,de\,δέ,particle,so\n,σός,adjective,klh=ron,κλῆρος,adjective,ba/le,βάλλω,verb,e)n,ἐν,preposition,h(mi=n,ἐγώ,pronoun,koino\n,κοινός,adjective,de\,δέ,particle,balla/ntion,βαλλάντιον,noun,kthsw/meqa,κτάομαι,verb,pa/ntes,πᾶς,adjective,μή,conjunction,πλανάω,verb,βούλομαι,verb,kai\,καί,conjunction,marsi/ppion,μαρσίππιον,noun,e(\n,εἷς,adjective,genhqh/tw,γίγνομαι,verb,h(mi=n,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,poreuqh=|s,e)n,ἐν,preposition,o(dw=|,met',μετά,preposition,au)tw=n,αὐτός,pronoun,e)/kklinon,ἐκκλίνω,verb,de\,to\n,ὁ,article,po/da,πούς,noun,sou,σύ,pronoun,e)k,ἐκ,preposition,tw=n,ὁ,article,tri/bwn,τρίβω,verb,au)tw=n,αὐτός,pronoun,oi(,ὁ,article,ga\r,γάρ,particle,po/des,πούς,noun,au)tw=n,αὐτός,pronoun,ei)s,εἰς,preposition,kaki/an,κακία,noun,tre/xousin,τρέχω,verb,kai\,καί,conjunction,taxinoi\,ταχινός,adjective,tou=,ὁ,article,e)kxe/ai,ἐκχέω,verb,ai(=ma,αἷμα,noun,ou),οὐ,adverb,ga\r,γάρ,particle,a)di/kws,ἄδικος,adjective,e)ktei/netai,ἐκτείνω,verb,di/ktua,δίκτυον,noun,pterwtoi=s,πτερωτός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πορεύω,verb,ὁδός,adjective,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)toi\,αὐτός,pronoun,ga\r,oi(,ὁ,article,fo/nou,mete/xontes,μετέχω,verb,qhsauri/zousin,θησαυρίζω,verb,e(autoi=s,ἑαυτοῦ,pronoun,kaka/,h(,ὁ,article,de\,δέ,particle,katastrofh\,καταστροφή,noun,a)ndrw=n,ἀνήρ,noun,parano/mwn,παράνομος,adjective,kakh/,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γάρ,particle,φόνος,noun,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au(=tai,οὗτος,pronoun,ai(,o(doi/,ὁδός,adjective,ei)sin,pa/ntwn,πᾶς,adjective,tw=n,ὁ,article,suntelou/ntwn,συντελέω,verb,ta\,a)/noma,ἄνομος,adjective,th=|,ὁ,article,ga\r,γάρ,particle,a)sebei/a|,ἀσέβεια,noun,th\n,ὁ,article,e(autw=n,ἑαυτοῦ,pronoun,yuxh\n,ψυχή,noun,a)fairou=ntai,ἀφαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,εἰμί,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*sofi/a,σοφία,noun,e)n,e)co/dois,ἔξοδος,noun,u(mnei=tai,e)n,ἐν,preposition,de\,δέ,particle,platei/ais,πλατεῖα,noun,parrhsi/an,a)/gei,ἄγω,verb,e)p',ἐπί,preposition,a)/krwn,ἄκρος,adjective,de\,δέ,particle,teixe/wn,τεῖχος,noun,khru/ssetai,κηρύσσω,verb,e)pi\,ἐπί,preposition,de\,δέ,particle,pu/lais,πύλη,adjective,dunastw=n,δυνάστης,noun,paredreu/ei,παρεδρεύω,verb,e)pi\,ἐπί,preposition,de\,δέ,particle,pu/lais,πύλη,adjective,po/lews,πόλις,adjective,qarrou=sa,θαρσέω,verb,le/gei,λέγω,verb,*(/oson,ὅσος,adjective,a)\n,ἄν,particle,xro/non,χρόνος,noun,a)/kakoi,ἄκακος,adjective,e)/xwntai,ἔχω,verb,th=s,ὁ,article,dikaiosu/nhs,δικαιοσύνη,noun,ou)k,οὐ,adverb,ai),εἰ,conjunction,sxunqh/sontai,,,oi(,ὁ,article,de\,δέ,particle,a)/frones,ἄφρων,adjective,th=s,ὁ,article,u(/brews,ὕβρις,noun,o)/ntes,εἰμί,verb,e)piqumhtai/,ἐπιθυμητής,noun,a)sebei=s,ἀσεβής,adjective,geno/menoi,γίγνομαι,verb,e)mi/shsan,μισέω,verb,ai)/sqhsin,αἴσθησις,noun,kai\,καί,conjunction,u(peu/qunoi,ὑπεύθυνος,adjective,e)ge/nonto,γίγνομαι,verb,e)le/gxois,ἔλεγχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐν,preposition,ὑμνέω,verb,παρρησία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)dou\,ἰδού,adverb,proh/somai,u(mi=n,σύ,pronoun,e)mh=s,pnoh=s,πνοή,noun,r(h=sin,ῥῆσις,noun,dida/cw,διδάσκω,verb,de\,u(ma=s,σύ,pronoun,to\n,ὁ,article,e)mo\n,ἐμός,adjective,lo/gon,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,προήδομαι,verb,ἐμός,adjective,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,e)ka/loun,kai\,καί,conjunction,ou)x,u(phkou/sate,ὑπακούω,verb,kai\,καί,conjunction,e)ce/teinon,ἐκτείνω,verb,lo/gous,kai\,καί,conjunction,ou),οὐ,adverb,prosei/xete,προσέχω,verb,a)lla\,ἀλλά,adverb,a)ku/rous,ἄκυρος,adjective,e)poiei=te,ἐποίζω,verb,e)ma\s,ἐμός,adjective,boula/s,βουλή,noun,toi=s,ὁ,article,de\,δέ,particle,e)moi=s,ἐμός,adjective,e)le/gxois,ἔλεγχος,noun,h)peiqh/sate,ἀπειθέω,verb,toigarou=n,τοιγάρ,particle,ka)gw\,ἐγώ,pronoun,th=|,ὁ,article,u(mete/ra|,ὑμέτερος,adjective,a)pwlei/a|,ἀπώλεια,noun,e)pigela/somai,ἐπιγελάω,verb,kataxarou=mai,καταχαίρω,verb,de/,δέ,particle,h(ni/ka,ἡνίκα,adverb,a)\n,ἄν,particle,e)/rxhtai,ἔρχομαι,verb,u(mi=n,σύ,pronoun,o)/leqros,ὄλεθρος,noun,kai\,καί,conjunction,w(s,ὡς,conjunction,a)\n,ἄν,particle,a)fi/khtai,ἀφικνέομαι,verb,u(mi=n,σύ,pronoun,a)/fnw,ἄφνω,adverb,qo/rubos,θόρυβος,noun,h(,ὁ,article,de\,δέ,particle,katastrofh\,καταστροφή,noun,o(moi/ws,ὅμοιος,adjective,kataigi/di,καταιγίς,noun,parh=|,πάρειμι,verb,kai\,καί,conjunction,o(/tan,ὅταν,conjunction,e)/rxhtai,ἔρχομαι,verb,u(mi=n,σύ,pronoun,qli=yis,θλῖψις,noun,kai\,καί,conjunction,poliorki/a,πολιορκία,noun,h)\,ἠέ,conjunction,o(/tan,ὅταν,conjunction,e)/rxhtai,ἔρχομαι,verb,u(mi=n,σύ,pronoun,o)/leqros,ὄλεθρος,noun,,,,καλέω,verb,οὐ,adverb,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
