word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS
to\n,ὁ,article,i)htro\n,ἰατρός,noun,doke/ei,δοκέω,verb,moi,ἐγώ,pronoun,a)/riston,ἄριστος,adjective,ei)=nai,εἰμί,verb,pro/noian,πρόνοια,noun,e)pithdeu/ein,ἐπιτηδεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progignw/skwn,προγιγνώσκω,verb,ga\r,γάρ,particle,kai\,καί,conjunction,prole/gwn,προλέγω,verb,para\,παρά,preposition,toi=si,ὁ,article,nose/ousi,νοσέω,verb,ta/,τίς,pronoun,te,τε,particle,pareo/nta,πάρειμι,verb,kai\,καί,conjunction,ta\,ὁ,article,progegono/ta,προγίγνομαι,verb,kai\,καί,conjunction,ta\,ὁ,article,me/llonta,μέλλω,verb,e)/sesqai,εἰμί,verb,o(ko/sa,ὁπόσος,adjective,te,τε,particle,paralei/pousin,παραλείπω,verb,oi(,ἕ,pronoun,a)sqene/ontes,ἀσθενέω,verb,e)kdihgeu/menos,ἐκδιηγέομαι,verb,pisteu/oit',πιστεύω,verb,a)\n,ἄν,particle,ma=llon,μᾶλλον,adverb,gignw/skein,γιγνώσκω,verb,ta\,ὁ,article,tw=n,ὁ,article,noseo/ntwn,νοσέω,verb,prh/gmata,πρᾶγμα,noun,w(/ste,ὥστε,conjunction,tolma=|n,τολμάω,verb,e)pitre/pein,ἐπιτρέπω,verb,tou\s,ὁ,article,a)nqrw/pous,ἄνθρωπος,noun,sfe/as,σφεῖς,pronoun,e(wutou\s,ἑαυτοῦ,pronoun,tw=|,ὁ,article,i)htrw=|,ἰατρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,de\,δέ,particle,qerapei/hn,θεραπεία,noun,a)/rista,ἄριστος,adjective,a)\n,ἄν,particle,poie/oito,ποιέω,verb,proeidw\s,πρόοιδα,verb,ta\,ὁ,article,e)so/mena,εἰμί,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,pareo/ntwn,πάρειμι,verb,paqhma/twn,πάθημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(gie/as,ὑγιής,adverb,me\n,μέν,particle,ga\r,γάρ,particle,poie/ein,ποιέω,verb,a(/pantas,ἅπας,adjective,tou\s,ὁ,article,a)sqene/ontas,ἀσθενέω,verb,a)du/naton,ἀδύνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,ga\r,γάρ,particle,tou=,ὁ,article,progignw/skein,προγιγνώσκω,verb,ta\,ὁ,article,me/llonta,μέλλω,verb,a)pobh/sesqai,ἀποβαίνω,verb,kre/sson,κρείσσων,verb,a)\n,ἄν,particle,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,oi(,ὁ,article,a)/nqrwpoi,ἄνθρωπος,noun,a)poqnh/skousin,ἀποθνήσκω,verb,oi(,ὁ,article,me\n,μέν,particle,pri\n,πρίν,adverb,h)\,ἠέ,conjunction,kale/sai,καλέω,verb,to\n,ὁ,article,i)htro\n,ἰατρός,noun,u(po\,ὑπό,preposition,th=s,ὁ,article,i)sxu/os,ἰσχύς,noun,th=s,ὁ,article,nou/sou,νόσος,noun,oi(,ὁ,article,de\,δέ,particle,kai\,καί,conjunction,e)skalesa/menoi,εἰσκαλέω,verb,paraxrh=ma,παραχρῆμα,adverb,e)teleu/thsan,τελευτάω,verb,oi(,ἕ,pronoun,me\n,μέν,particle,h(me/rhn,ἡμέρα,noun,mi/hn,εἷς,adjective,zh/santes,ζάω,verb,oi(,ὁ,article,de\,δέ,particle,o)li/gw|,ὀλίγος,adjective,ple/ona,πλείων,verb,xro/non,χρόνος,noun,pri\n,πρίν,adverb,h)\,ἠέ,conjunction,to\n,ὁ,article,i)htro\n,ἰατρός,noun,th=|,ὁ,article,te/xnh|,τέχνη,noun,pro\s,πρός,preposition,e(/kaston,ἕκαστος,adjective,nou/shma,a)ntagwni/sasqai,ἀνταγωνίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnw=nai,γιγνώσκω,verb,ou)=n,οὖν,particle,xrh\,χρή,verb,tw=n,ὁ,article,paqe/wn,πάθη,noun,tw=n,ὁ,article,toioute/wn,τοιοῦτος,adjective,ta\s,ὁ,article,fu/sias,φύσις,noun,o(ko/son,ὁπόσος,adjective,u(pe\r,ὑπέρ,preposition,th\n,ὁ,article,du/nami/n,δύναμις,adjective,ei)si,εἰμί,verb,tw=n,ὁ,article,swma/twn,σῶμα,adjective,a(/ma,ἅμα,adverb,de\,δέ,particle,kai\,καί,conjunction,ei)/,εἰ,conjunction,ti,τις,pronoun,qei=on,θεῖος,adjective,e)/nestin,ἔνειμι,verb,e)n,ἐν,preposition,th=|si,ὁ,article,nou/soisi,νόσος,noun,kai\,καί,conjunction,toute/ou,,,th\n,ὁ,article,pro/noian,πρόνοια,noun,e)kmanqa/nein,ἐκμανθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,ga\r,γάρ,particle,a)\n,ἄν,particle,qauma/zoito/,θαυμάζω,verb,te,τε,particle,dikai/ws,δίκαιος,adjective,kai\,καί,conjunction,i)htro\s,ἰατρός,noun,a)gaqo\s,ἀγαθός,adjective,a)\n,ἄν,particle,ei)/h,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ou(\s,ὅς,pronoun,oi(=o/n,οἷος,adjective,te,τε,particle,perigi/gnesqai,περιγίγνομαι,verb,tou/tous,οὗτος,pronoun,e)/ti,ἔτι,adverb,ma=llon,μᾶλλον,adverb,du/nait',δύναμαι,verb,a)\n,ἄν,particle,o)rqw=s,ὀρθός,adjective,diafula/ssein,διαφυλάσσω,verb,e)k,ἐκ,preposition,plei/onos,πλείων,verb,xro/nou,χρόνος,noun,probouleuo/menos,προβουλεύω,verb,pro\s,πρός,preposition,e(/kasta,ἕκαστος,adjective,kai\,καί,conjunction,tou\s,ὁ,article,a)poqanoume/nous,ἀποθνήσκω,verb,te,τε,particle,kai\,καί,conjunction,swqhsome/nous,σώζω,verb,progignw/skwn,προγιγνώσκω,verb,kai\,καί,conjunction,proagoreu/wn,προαγορεύω,verb,a)nai/tios,ἀναίω,verb,a)\n,ἄν,particle,ei)/h,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ske/ptesqai,σκέπτομαι,verb,de\,δέ,particle,xrh\,χρή,verb,w(=de,ὧδε,adverb,e)n,ἐν,preposition,toi=sin,ὁ,article,o)ce/si,ὀξύς,adjective,noush/masi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
