word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS
ou)k,οὐ,adverb,h)=n,εἰμί,verb,a)/r',ἄρα,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,xalepw/teron,χαλεπός,adjective,ou)de\n,οὐδείς,pronoun,h)\,ἠέ,conjunction,gei/tonos,γείτων,noun,ponhrou=,πονηρός,adjective,kai\,καί,conjunction,pleone/ktou,πλεονέκτης,noun,tuxei=n,τυγχάνω,verb,o(/per,ὅσπερ,adjective,e)moi\,ἐγώ,pronoun,nuni\,νυνί,adverb,sumbe/bhken,συμβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)piqumh/sas,ἐπιθυμέω,verb,ga\r,γάρ,particle,tw=n,ὁ,article,xwri/wn,χωρίον,noun,mou,ἐγώ,pronoun,*kalliklh=s,Καλλικλέης,proper,ou(/tw,οὕτως,adverb,diate/qhke/n,διατίθημι,verb,me,ἐγώ,pronoun,sukofantw=n,συκοφαντέω,verb,w(/ste,ὥστε,conjunction,prw=ton,πρότερος,adjective,me\n,μέν,particle,to\n,ὁ,article,a)neyio\n,ἀνεψιός,noun,to\n,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,kateskeu/asen,κατασκευάζω,verb,a)mfisbhtei=n,ἀμφισβητέω,verb,moi,ἐγώ,pronoun,tw=n,ὁ,article,xwri/wn,χωρίον,noun,e)celegxqei\s,ἐξελέγχω,verb,de\,δέ,particle,fanerw=s,φανερός,adjective,kai\,καί,conjunction,perigenome/nou,περιγίγνομαι,verb,mou,ἐγώ,pronoun,th=s,ὁ,article,tou/twn,οὗτος,pronoun,skeuwri/as,σκευωρία,noun,pa/lin,πάλιν,adverb,du/o,δύο,adjective,di/kas,δίκη,adjective,e)rh/mous,ἐρῆμος,adjective,mou,ἐγώ,pronoun,katedih|th/sato,καταδιαιτάω,verb,th\n,ὁ,article,me\n,μέν,particle,au)to\s,αὐτός,pronoun,xili/wn,χίλιοι,adjective,draxmw=n,δραχμή,noun,th\n,ὁ,article,de\,δέ,particle,to\n,ὁ,article,a)delfo\n,ἀδελφός,adjective,toutoni\,οὗτος,pronoun,pei/sas,πείθω,verb,*kallikra/thn,Καλλικράτης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de/omai,δέομαι,verb,dh\,δή,particle,pa/ntwn,πᾶς,adjective,u(mw=n,σύ,pronoun,a)kou=sai/,ἀκέω,verb,mou,ἐγώ,pronoun,kai\,καί,conjunction,prose/xein,προσέχω,verb,to\n,ὁ,article,nou=n,νόος,adjective,ou)x,οὐ,adverb,w(s,ὡς,conjunction,au)to\s,αὐτός,pronoun,dunhso/menos,δύναμαι,verb,ei)pei=n,εἶπον,verb,a)ll',ἀλλά,adverb,i(/n',ἵνα,conjunction,u(mei=s,σύ,pronoun,e)c,ἐκ,preposition,au)tw=n,αὐτός,pronoun,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,katama/qhte,καταμάω,verb,o(/ti,ὅστις,pronoun,fanerw=s,φανερός,adjective,sukofantou=mai,συκοφαντέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(\n,εἷς,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,pro\s,πρός,preposition,a(/pantas,ἅπας,adjective,tou\s,ὁ,article,tou/twn,οὗτος,pronoun,lo/gous,λόγος,noun,u(pa/rxei,ὑπάρχω,verb,moi,ἐγώ,pronoun,di/kaion,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,xwri/on,χωρίον,noun,tou=to,οὗτος,pronoun,periw|kodo/mhsen,περιοικοδομέω,verb,o(,ὁ,article,path\r,πατήρ,noun,mikrou=,μικρός,adjective,dei=n,δέω,verb,pri\n,πρίν,adverb,e)me\,ἐγώ,pronoun,gene/sqai,γίγνομαι,verb,zw=ntos,ζάω,verb,me\n,μέν,particle,e)/ti,ἔτι,adverb,*kallippi/dou,Καλλιππίδης,proper,tou=,ὁ,article,tou/twn,οὗτος,pronoun,patro\s,πατήρ,noun,kai\,καί,conjunction,geitniw=ntos,γειτνιάω,verb,o(\s,ὅς,pronoun,a)kribe/steron,ἀκριβής,adjective,h)/|dei,οἶδα,verb,dh/pou,δήπου,particle,tou/twn,οὗτος,pronoun,o)/ntos,εἰμί,verb,de\,δέ,particle,*kallikle/ous,Καλλικλέης,proper,a)ndro\s,ἀνήρ,noun,h)/dh,ἤδη,adverb,kai\,καί,conjunction,e)pidhmou=ntos,ἐπιδημέω,verb,*)aqh/nhsin,Ἀθήνησιν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,tou/tois,οὗτος,pronoun,toi=s,ὁ,article,e)/tesin,ἔτος,noun,a(/pasin,ἅπας,adjective,ou)/t',οὔτε,adverb,e)gkalw=n,ἐγκαλέω,verb,ou)dei\s,οὐδείς,pronoun,pw/pot',πώποτε,adverb,h)=lqen,ἔρχομαι,verb,ou)/te,οὔτε,adverb,memfo/menos,μέμφομαι,verb,kai/toi,καίτοι,particle,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,to/q',τόθι,adverb,u(/data,ὕδωρ,noun,polla/kis,πολλάκις,adverb,e)ge/neto),γίγνομαι,verb,ou)d',οὐδέ,particle,e)kw/lusen,κωλύω,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,ei)/per,εἴπερ,conjunction,h)di/kei,ἀδικέω,verb,tina\,τις,pronoun,perioikodomw=n,περιοικοδομέω,verb,o(,ὁ,article,path\r,πατήρ,noun,to\,ὁ,article,h(me/teron,ἡμέτερος,adjective,xwri/on,χωρίον,noun,a)ll',ἀλλά,adverb,ou)d',οὐδέ,particle,a)phgo/reusen,ἀπαγορεύω,verb,ou)de\,οὐδέ,particle,diemartu/rato,διαμαρτύρομαι,verb,ple/on,πλέος,adjective,me\n,μέν,particle,h)\,ἠέ,conjunction,pentekai/dek',πεντεκαίδεκα,noun,e)/th,ἔτης,noun,tou=,ὁ,article,patro\s,πατήρ,noun,e)pibio/ntos,ἐπιβιόω,verb,ou)k,οὐ,adverb,e)la/ttw,ἐλάσσων,adjective,de\,δέ,particle,tou=,ὁ,article,tou/twn,οὗτος,pronoun,patro\s,πατήρ,noun,*kallippi/dou,Καλλιππίδης,proper,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,w)=,ὦ,interjection,*kalli/kleis,Καλλικλέης,proper,e)ch=n,ἔξεστι,verb,dh/pou,δήπου,particle,to/q',τόθι,adverb,u(mi=n,σύ,pronoun,o(rw=sin,ὁράω,verb,a)poikodomoume/nhn,ἀποικοδομέω,verb,th\n,ὁ,article,xara/dran,χαράδρα,noun,e)lqou=sin,ἔρχομαι,verb,eu)qu\s,εὐθύς,adverb,a)ganaktei=n,ἀγανακτέω,verb,kai\,καί,conjunction,le/gein,λέγω,verb,pro\s,πρός,preposition,to\n,ὁ,article,pate/ra,πατήρ,noun,*teisi/a,Τεισίας,proper,ti/,τίς,pronoun,tau=ta,οὗτος,pronoun,poiei=s,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)poikodomei=s,ἀποικοδομέω,verb,th\n,ὁ,article,xara/dran,χαράδρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=t',εἶτα,adverb,e)mpesei=tai,ἐμπίτνω,verb,to\,ὁ,article,u(/dwr,ὕδωρ,noun,ei)s,εἰς,preposition,to\,ὁ,article,xwri/on,χωρίον,noun,to\,ὁ,article,h(me/teron,ἡμέτερος,adjective,i(/n',ἵνα,conjunction,ei),εἰ,conjunction,me\n,μέν,particle,e)bou/leto,βούλομαι,verb,pau/sasqai,παύω,verb,mhde\n,μηδείς,pronoun,h(mi=n,ἐγώ,pronoun,h)=n,εἰμί,verb,dusxere\s,δυσχερής,adverb,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,ei),εἰ,conjunction,d',δέ,particle,w)ligw/rhsen,ὀλιγωρέω,verb,kai\,καί,conjunction,sune/bh,συμβαίνω,verb,ti,τις,pronoun,toiou=ton,τοιοῦτος,adjective,ma/rtusin,μάρτυς,noun,ei)=xes,ἔχω,verb,toi=s,ὁ,article,to/te,τότε,adverb,paragenome/nois,παραγίγνομαι,verb,xrh=sqai,χράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nh\,νή,preposition,*di',Ζεύς,proper,e)pidei=cai/,ἐπιδείκνυμι,verb,ge/,γε,particle,s',σύ,pronoun,e)/dei,δέω,verb,pa=sin,πᾶς,adjective,a)nqrw/pois,ἄνθρωπος,noun,xara/dran,χαράδρα,noun,ou)=san,εἰμί,verb,i(/na,ἵνα,conjunction,mh\,μή,conjunction,lo/gw|,λόγος,noun,mo/non,μόνος,adjective,w(/sper,ὥσπερ,adverb,nu=n,νῦν,adverb,a)ll',ἀλλά,adverb,e)/rgw|,ἔργον,noun,to\n,ὁ,article,pate/r',πατήρ,noun,a)dikou=nt',ἀδικέω,verb,a)pe/faines,ἀποφαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
