word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS
a)ll',ἀλλά,adverb,ei)/,εἰ,conjunction,tis,τις,pronoun,e)s,εἰς,preposition,*bakxei=on,Βακχεῖον,proper,au)ta\s,αὐτός,pronoun,e)ka/lesen,καλέω,verb,h)\,ἠέ,conjunction,'s,εἰς,preposition,*pano\s,Πάν,proper,h)\,ἠέ,conjunction,'pi\,ἐπί,preposition,*kwlia/d',Κωλιάς,proper,h)\,ἠέ,conjunction,'s,εἰς,preposition,*genetulli/dos,Γενετυλλίς,proper,ou)d',οὐδέ,particle,a)\n,ἄν,particle,dielqei=n,διέρχομαι,verb,h)=n,εἰμί,verb,a)\n,ἄν,particle,u(po\,ὑπό,preposition,tw=n,ὁ,article,tumpa/nwn,τύμπανον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,ou)demi/a,οὐδείς,pronoun,pa/restin,πάρειμι,verb,e)ntauqoi=,ἐνταυθοῖ,adverb,gunh/,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plh\n,πλήν,preposition,h(/,ὅς,pronoun,g',γε,particle,e)mh\,ἐμός,adjective,kwmh=tis,κωμῆτις,adjective,h(/d',ὅδε,pronoun,e)ce/rxetai,ἐξέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xai=r',χαίρω,verb,w)=,ὦ,interjection,*kaloni/kh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,su/,σύ,pronoun,g',γε,particle,w)=,ὦ,interjection,*lusistra/th,Λυσιστράτη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,sunteta/racai,συνταράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,skuqrw/paz',σκυθρωπάζω,verb,w)=,ὦ,interjection,te/knon,τέκνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,pre/pei,πρέπω,verb,soi,σύ,pronoun,tocopoiei=n,τοξοποιέω,verb,ta\s,ὁ,article,o)fru=s,ὀφρύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,w)=,ὦ,interjection,*kaloni/kh,,,ka/omai,καίω,verb,th\n,ὁ,article,kardi/an,καρδία,noun,kai\,καί,conjunction,po/ll',πολύς,adjective,u(pe\r,ὑπέρ,preposition,h(mw=n,ἐγώ,pronoun,tw=n,ὁ,article,gunaikw=n,γυνή,noun,a)/xqomai,ἄχθομαι,verb,o(tih\,ὁτιή,conjunction,para\,παρά,preposition,me\n,μέν,particle,toi=s,ὁ,article,a)ndra/sin,ἀνήρ,noun,nenomi/smeqa,νομίζω,verb,ei)=nai,εἰμί,verb,panou=rgoi,πανοῦργος,adjective,kai\,καί,conjunction,ga/r,γάρ,particle,e)smen,εἰμί,verb,nh\,νή,preposition,*di/a,Δίη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)rhme/non,ἐρῶ,verb,d',δέ,particle,au)tai=s,αὐτός,pronoun,a)panta=n,ἀπαντάω,verb,e)nqa/de,ἐνθάδε,adverb,bouleusome/naisin,βουλεύω,verb,ou),οὐ,adverb,peri\,περί,preposition,fau/lou,φαῦλος,adjective,pra/gmatos,πρᾶγμα,noun,eu(/dousi,εὕδω,verb,kou)x,οὐ,adverb,h(/kousin,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
