word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/17/lemma/@_entry,word/17/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/23/@_form,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/20/lemma/@_entry,word/20/lemma/@_POS,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/lemma/@_entry,word/23/lemma/@_POS
*lh=|s,Λής,proper,nu/,νῦν,adverb,ti/,τίς,pronoun,moi,ἐγώ,pronoun,*luki/da,Λυκίδης,proper,*sikelo\n,Σικελός,proper,me/los,μέλος,noun,a(du\,ἡδύς,adjective,ligai/nein,λιγαίνω,verb,i(mero/en,ἱμερόεις,adjective,gluku/qumon,γλυκύθυμος,adjective,e)rwtiko/n,ἐρωτικός,adjective,oi(=on,οἷος,adjective,o(,ὁ,article,*ku/klwy,Κύκλωψ,proper,a)/eisen,ἀείδω,verb,*polu/famos,πολύφαμος,adjective,e)pa|oni/a|,*galatei/a|,Γαλάτεια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kh)moi\,ἐμός,adjective,suri/sden,συρίζω,verb,*mu/rswn,Μύρσος,proper,fi/lon,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,ti/,τίς,pronoun,me/lyw,μέλπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*sku/rion,Σκύριος,proper,w)=,ὦ,interjection,*luki/da,Λυκίδης,proper,zalw/menon,,,a(du\n,ἡδύς,adjective,e)/rwta,ἔρως,noun,la/qria,λάθριος,adjective,*phlei/dao,Πηλείδης,proper,fila/mata,φίλημα,noun,la/qrion,λάθριος,adjective,eu)na/n,εὐνή,noun,pw=s,πῶς,adverb,pai=s,πᾶς,adjective,e(/ssato,ἕννυμι,verb,fa=ros,φᾶρος,noun,o(/pws,ὅπως,conjunction,d',δέ,particle,e)yeu/sato,morfa\n,μορφή,noun,ψεύδω,verb,kh)n,ἐν,preposition,kw/raisin,o(/pws,ὅπως,conjunction,*lukomhdi/sin,a(pale/goisa,h)ei/dh,οἶδα,verb,kata\,κατά,preposition,pasto\n,παστός,adjective,*)axille/a,Ἀχιλλεύς,proper,*dhi+da/meia,Δηιδαμεία,proper,,,,,,
*(/arpase,ἁρπάζω,verb,ta\n,ὁ,article,*(ele/nan,Ἑλένη,proper,po/q',πόθι,adverb,o(,ὁ,article,bouko/los,βουκόλος,noun,a)=ge,ἄγω,verb,d',δέ,particle,e)s,εἰς,preposition,*)/idan,Ἴδη,proper,*oi)nw/na|,Οἰνώνη,proper,kako\n,κακός,adjective,a)/lgos,ἄλγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)xw/sato,χόω,verb,d',δέ,particle,a(,ὁ,article,*lakedai/mwn,Λακεδαίμων,proper,pa/nta,πᾶς,adjective,de\,δέ,particle,lao\n,λαός,noun,a)/geiren,ἀγείρω,verb,*)axai+ko/n,,,ou)de/,οὐδέ,particle,tis,τις,pronoun,*(/ellhn,Ἕλλη,proper,ou)/te,οὔτε,adverb,*mukhnai/wn,Μυκηναῖος,proper,ou)/t',οὔτε,adverb,*)/hlidos,Ἦλις,proper,ou)/te,οὔτε,adverb,*lakw/nwn,mei=nen,μένω,verb,Λάκων,proper,e(o\n,ἑός,adjective,kata\,dw=ma,δῶμα,noun,fugw\n,du/stanon,*)/arha,Ἄρης,proper,,,,,,,,,,,,,κατά,preposition,φεύγω,verb,δύστηνος,adjective
la/nqane,λανθάνω,verb,d',δέ,particle,e)n,ἐν,preposition,kw/rais,κόρη,noun,*lukomhdi/si,,,mou=nos,μόνος,adjective,*)axilleu/s,Ἀχιλλεύς,proper,ei)/ria,ἔριον,noun,d',δέ,particle,a)nq',ἀντί,preposition,o(/plwn,ὅπλον,noun,e)dida/sketo,διδάσκω,verb,kai\,καί,conjunction,xeri\,χείρ,noun,leuka=|,λευκός,adjective,parqeniko\n,παρθενικός,adjective,ko/pon,κόπος,noun,ei)=xen,e)fai/neto,φαίνω,verb,ἔχω,verb,d',δέ,particle,h)u/+te,kw/ra,κόρη,noun,,,,,,,,,,,,,,,,,,ἠύτε,particle,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,i)/son,ἴσος,adjective,th/nais,ἐκεῖνος,pronoun,qhlu/neto,θηλύνω,verb,kai\,καί,conjunction,to/son,τόσος,adjective,a)/nqos,ἄνθος,adjective,xione/ais,χιόνεος,adjective,po/rfure,πορφύρω,verb,parhi/si,παρηίς,noun,kai\,καί,conjunction,to\,ὁ,article,ba/disma,βάδισμα,noun,parqenikh=s,παρθενική,noun,e)ba/dize,βαδίζω,verb,ko/mas,κόμη,noun,d',e)pu/kaze,πυκάζω,verb,δέ,particle,kalu/ptra|,κάλυπτρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,
qumo\n,θυμός,noun,d',δέ,particle,a)ne/ros,ἀνήρ,noun,ei)=xe,ἔχω,verb,kai\,καί,conjunction,a)ne/ros,ἀνήρ,noun,ei)=xen,ἔχω,verb,e)/rwta,ἔρως,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)c,ἐκ,preposition,a)ou=s,ἠώς,noun,d',δέ,particle,e)pi\,ἐπί,preposition,nu/kta,νύξ,adjective,pari/zeto,παρίζω,verb,*dhi+damei/a|,Δηιδαμεία,proper,kai\,καί,conjunction,pote\,ποτός,adjective,me\n,μέν,particle,th/nas,ἐκεῖνος,pronoun,e)fi/lei,φιλέω,verb,xe/ra,χείρ,noun,polla/ki,πολλάκις,adverb,d',δέ,particle,au)ta=s,αὐτός,pronoun,sta/mona,,,kalo\n,a)/eire,ἀείρω,verb,καλός,noun,ta\,ὁ,article,dai/dala,d',δέ,particle,a)/tri),e)ph/|nei,,,,,,,,,,,,,,,,δαίδαλος,adjective,ἄτριον,noun,ἐπαινέω,verb
