word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS
o(po/sa,ὁπόσος,adjective,me\n,μέν,particle,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,u(po\,ὑπό,preposition,tw=n,ὁ,article,e)pituxo/ntwn,ἐπιτυγχάνω,verb,e)pibouleu/etai,ἐπιβουλεύω,verb,ou),οὐ,adverb,xalepa\,χαλεπός,adjective,e)le/gxesqai/,ἐλέγχω,verb,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)\n,ἄν,particle,d',δέ,particle,oi(,ἕ,pronoun,i(kanw=s,ἱκανός,adjective,me\n,μέν,particle,pefuko/tes,φύω,verb,e)/mpeiroi,ἔμπειρος,adjective,de\,δέ,particle,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,o)/ntes,εἰμί,verb,e)n,ἐν,preposition,de\,δέ,particle,tou/tw|,οὗτος,pronoun,th=s,ὁ,article,h(liki/as,ἡλικία,noun,kaqestw=tes,καθίστημι,verb,e)n,ἐν,preposition,w(=|,ὅς,pronoun,kra/tistoi,κράτιστος,adjective,fronei=n,φρονέω,verb,au(tw=n,ἑαυτοῦ,pronoun,ei)si,εἰμί,verb,pra/sswsi,πράσσω,verb,xalepoi\,χαλεπός,adjective,kai\,καί,conjunction,gnwsqh=nai,γιγνώσκω,verb,kai\,καί,conjunction,e)legxqh=nai/,ἐλέγχω,verb,ei)si,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ga\r,γάρ,particle,to\,ὁ,article,me/geqos,μέγεθος,adjective,tou=,ὁ,article,kindu/nou,κίνδυνος,noun,e)k,ἐκ,preposition,pollou=,πολύς,adjective,th\n,ὁ,article,a)sfa/leian,ἀσφάλεια,noun,w(=n,ὅς,pronoun,e)pibouleu/ousi,ἐπιβουλεύω,verb,skopou=ntes,σκοπάω,verb,ou),οὐ,adverb,pro/teron,πρότερος,adjective,e)pixeirou=sin,ἐπιχειρέω,verb,h)\,ἠέ,conjunction,pa/shs,πᾶς,adjective,u(poyi/as,ὑποψία,noun,fulakh\n,φυλακή,noun,poih/swntai,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gignw/skontas,γιγνώσκω,verb,ou)=n,οὖν,particle,u(ma=s,σύ,pronoun,xrh\,χρή,verb,tau=ta,οὗτος,pronoun,ka)\n,κἀν,conjunction,o(tiou=n,ὁτιοῦν,adverb,ei)ko\s,ἔοικα,verb,parala/bhte,παραλαμβάνω,verb,sfo/dra,σφόδρα,adverb,pisteu/ein,πιστεύω,verb,au)tw=|,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,d',δέ,particle,oi(,ἕ,pronoun,e)pecerxo/menoi,ἐπεξέρχομαι,verb,to\n,ὁ,article,fo/non,φόνος,noun,ou),οὐ,adverb,to\n,ὁ,article,ai)/tion,αἴτιος,adjective,a)fe/ntes,ἀφίημι,verb,to\n,ὁ,article,a)nai/tion,ἀναίω,verb,diw/komen,διώκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safw=s,σαφής,adverb,ga\r,γάρ,particle,oi)/damen,οἶδα,verb,o(/ti,ὅστις,pronoun,pa/shs,πᾶς,adjective,th=s,ὁ,article,po/lews,πόλις,adjective,miainome/nhs,μιαίνω,verb,u(p',ὑπό,preposition,au)tou=,αὐτός,pronoun,e(/ws,ἕως,conjunction,a)\n,ἄν,particle,diwxqh=|,διώκω,verb,to/,ὁ,article,t',τε,particle,a)se/bhma,ἀσέβημα,noun,h(me/teron,ἡμέτερος,adjective,gi/gnetai,γίγνομαι,verb,th=s,ὁ,article,q',τε,particle,u(mete/ras,ὑμέτερος,adjective,a(marti/as,ἁμαρτία,noun,h(,ὁ,article,poinh\,ποινή,noun,ei)s,εἰς,preposition,h(ma=s,ἐγώ,pronoun,tou\s,ὁ,article,mh\,μή,conjunction,dikai/ws,δίκαιος,adjective,diw/kontas,διώκω,verb,a)naxwrei=,ἀναχωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/pantos,ἅπας,adjective,de\,δέ,particle,tou=,ὁ,article,mia/smatos,μίασμα,adjective,a)naxwrou=ntos,ἀναχωρέω,verb,ei)s,εἰς,preposition,h(ma=s,ἐγώ,pronoun,w(s,ὡς,conjunction,a)\n,ἄν,particle,dunw/meqa,δύναμαι,verb,safe/stata,σαφής,adverb,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,gignw/skomen,γιγνώσκω,verb,peiraso/meqa,πειράω,verb,u(mi=n,σύ,pronoun,dhlou=n,δηλόω,verb,w(s,ὡς,conjunction,a)pe/kteine,ἀποκτείνω,verb,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt*ou)/te,,,ga\r,γάρ,particle,kakou/rgous,κάκουργος,adjective,ei)ko\s,ἔοικα,verb,a)poktei=nai,ἀποκτείνω,verb,to\n,ὁ,article,a)/nqrwpongt,,,ou)dei\s,οὐδείς,pronoun,ga\r,γάρ,particle,a)\n,ἄν,particle,to\n,ὁ,article,e)/sxaton,σχέθω,verb,ki/ndunon,κίνδυνος,noun,peri\,περί,preposition,th=s,ὁ,article,yuxh=s,ψυχή,noun,kinduneu/wn,κινδυνεύω,verb,e(toi/mhn,ἑτοῖμος,adjective,kai\,καί,conjunction,kateirgasme/nhn,κατεργάζομαι,verb,th\n,ὁ,article,w)fe/leian,ὠφέλεια,noun,a)fh=ken,ἀφήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/xontes,ἔχω,verb,ga\r,γάρ,particle,a)\n,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,i(ma/tia,ἱμάτιον,adjective,hu(re/qhsan,εὑρίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
